,artist,success_probability,track_name
1116,CallalilyDarren Espanto,0.7290714285714285,MagbalikDarren Espanto
2052,Ben&BenDarren Espanto,0.7210238095238095,Sa Susunod na Habang BuhayDarren Espanto
1859,Tatak Pinoy All-StarsDarren Espanto,0.7109325396825397,"A Perfect Christmas - Recorded at OnQ Studios, ManilaDarren Espanto"
1847,Ben&BenDarren Espanto,0.7020238095238095,"Susi (From the Film ""GOYO - Ang Batang Heneral"")Darren Espanto"
1369,Savage GardenDarren Espanto,0.6739682539682538,Truly Madly DeeplyDarren Espanto
1608,CallalilyDarren Espanto,0.6724404761904763,ExDarren Espanto
1275,ALLMO$TDarren Espanto,0.6724047619047618,DalagaDarren Espanto
1713,IV Of SpadesDarren Espanto,0.6663214285714286,My JulianaDarren Espanto
1843,The Goo Goo DollsDarren Espanto,0.6607619047619047,IrisDarren Espanto
169,Taylor SwiftDarren Espanto,0.6602976190476191,augustDarren Espanto
