,artist,success_probability,track_name
576,BTSIV Of Spades,0.7301428571428571,Magic ShopIV Of Spades
119,SurfacesIV Of Spades,0.7264444444444444,Sunday BestIV Of Spades
39,Cardi BIV Of Spades,0.7130595238095238,Please MeIV Of Spades
254,Maroon 5IV Of Spades,0.7054880952380952,What Lovers Do (feat. SZA)IV Of Spades
1279,Agust DIV Of Spades,0.6970833333333334,What do you think?IV Of Spades
177,Charlie PuthIV Of Spades,0.6904880952380951,Done for Me (feat. Kehlani)IV Of Spades
178,Charlie PuthIV Of Spades,0.6904880952380951,Done For Me (feat. Kehlani)IV Of Spades
33,BTSIV Of Spades,0.6881071428571428,Go GoIV Of Spades
764,Ariana GrandeIV Of Spades,0.6803095238095237,blazed (feat. Pharrell Williams)IV Of Spades
294,Maroon 5IV Of Spades,0.6740595238095236,What Lovers Do (feat. SZA)IV Of Spades
