,artist,success_probability,track_name
953,Mariah Careyjuan karlos,0.7146428571428571,We Belong Togetherjuan karlos
1898,LANYjuan karlos,0.7061428571428573,good guysjuan karlos
2103,Sam Smithjuan karlos,0.6986428571428571,To Die Forjuan karlos
2048,Secondhand Serenadejuan karlos,0.6919166666666667,Fall for You (Acoustic)juan karlos
2166,Taylor Swiftjuan karlos,0.6893095238095238,peacejuan karlos
1883,Taylor Swiftjuan karlos,0.6888333333333334,Lover (Remix) [feat. Shawn Mendes]juan karlos
1093,Lauvjuan karlos,0.685845238095238,Sad Foreverjuan karlos
1092,Lauvjuan karlos,0.685845238095238,Sad Foreverjuan karlos
842,Bazzijuan karlos,0.6858333333333334,Honestjuan karlos
1557,Sam Smithjuan karlos,0.6835079365079366,I'm Not The Only Onejuan karlos
