,artist,duration,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode
0,Clean Bandit,0.5043266637523998,0.239,0.715,0.605,1.41e-05,0.189,0.9532986950217499,0.0428,0.5027532000898272,0.454,0,0
1,Clean Bandit,0.48568302490675624,0.35600000000000004,0.755,0.74,1.05e-05,0.0994,0.9396447559207348,0.04,0.4487671232876711,0.33,0,0
2,Clean Bandit,0.5298239424918003,0.0357,0.74,0.622,4.85e-05,0.35600000000000004,0.984714838086032,0.0446,0.34115427801482145,0.556,11,0
3,Clean Bandit,0.602593697514437,0.383,0.7170000000000001,0.73,0.0,0.398,0.9774045432576125,0.0568,0.314529530653492,0.792,9,0
4,Clean Bandit,0.4461435813272185,0.225,0.737,0.7140000000000001,3.79e-06,0.267,0.8922788786853554,0.0367,0.31492476981810025,0.608,1,0
5,Clean Bandit,0.5103264745806906,0.14400000000000002,0.638,0.7290000000000001,3.86e-06,0.257,0.9091348477525376,0.0405,0.0722389400404222,0.506,5,1
6,Clean Bandit,0.5600914159502427,0.0906,0.736,0.71,6.1e-05,0.21600000000000005,0.8318632189463511,0.0429,0.34150460363799684,0.334,5,0
7,Clean Bandit,0.47164086006661915,0.00591,0.607,0.588,9.05e-06,0.219,0.8566940550990818,0.0858,0.8176869526162136,0.396,10,0
8,Clean Bandit,0.49512371574138686,0.267,0.773,0.568,0.0,0.112,0.7973054615756405,0.0493,0.2963215809566584,0.467,0,1
9,Clean Bandit,0.5383443385253297,0.0574,0.7929999999999999,0.624,2.08e-06,0.208,0.899166263895602,0.0344,0.2967617336626993,0.755,11,0
10,Clean Bandit,0.4870813617295407,0.299,0.693,0.624,7.64e-06,0.0955,0.8110802319961335,0.0448,0.34147765551313713,0.369,0,0
11,Clean Bandit,0.49168283573504706,0.008329999999999999,0.685,0.746,0.000154,0.134,0.8423755437409377,0.0353,0.2606692117673478,0.53,6,1
12,Clean Bandit,0.4280112173710756,0.0266,0.742,0.769,0.0,0.317,0.9021266312228131,0.0328,0.22488210195373914,0.504,0,1
13,Clean Bandit,0.523075113950391,0.0551,0.723,0.648,3.61e-05,0.298,0.8690792653455777,0.0426,0.7549786660678193,0.369,11,0
14,Clean Bandit,0.533878352365541,0.00328,0.696,0.741,8.809999999999999e-05,0.129,0.8933663605606574,0.0367,0.3864810240287446,0.413,7,0
15,Clean Bandit,0.5435261095304195,0.0441,0.43,0.741,0.0,0.117,1.0,0.0583,0.5735099932629688,0.297,5,0
16,Darren Espanto,0.6142098630038932,0.809,0.333,0.608,6.27e-06,0.336,0.8659376510391494,0.0423,0.004006287895800709,0.13699999999999998,4,1
17,Darren Espanto,0.5778300982414699,0.934,0.606,0.35,0.0,0.0872,0.7651643305944902,0.0304,0.4752301818998428,0.312,3,1
18,Darren Espanto,0.6853051927634152,0.773,0.392,0.476,0.0,0.118,0.8127718704688256,0.0305,0.48573995059510433,0.2,9,0
19,Darren Espanto,0.5357649567077987,0.789,0.426,0.392,2.16e-06,0.126,0.6621556307394879,0.0276,0.26896923422411867,0.141,9,0
