album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
What Is Love? (Deluxe Edition),1,72gv4zhNvRVdQA0eOenCal,Symphony (feat. Zara Larsson),spotify:track:72gv4zhNvRVdQA0eOenCal,0.239,0.715,0.605,1.4099999999999999e-05,0.18899999999999997,-5.127999999999999,0.0428,122.956,0.45399999999999996,74,Clean Bandit
What Is Love? (Deluxe Edition),2,5XWCc9wQes7X5uyYH9h5JR,Baby (feat. MARINA & Luis Fonsi),spotify:track:5XWCc9wQes7X5uyYH9h5JR,0.35600000000000004,0.755,0.74,1.05e-05,0.0994,-5.354,0.04,116.946,0.33,60,Clean Bandit
What Is Love? (Deluxe Edition),3,3NuK5xMlSlB6K2Qp16zf3h,Solo (feat. Demi Lovato),spotify:track:3NuK5xMlSlB6K2Qp16zf3h,0.0357,0.74,0.622,4.85e-05,0.35600000000000004,-4.6080000000000005,0.0446,104.96600000000001,0.556,71,Clean Bandit
What Is Love? (Deluxe Edition),4,2hrUO4drrO63i7FYbCLBl2,Rockabye (feat. Sean Paul & Anne-Marie),spotify:track:2hrUO4drrO63i7FYbCLBl2,0.38299999999999995,0.7170000000000001,0.73,0.0,0.39799999999999996,-4.729,0.0568,102.00200000000001,0.792,69,Clean Bandit
What Is Love? (Deluxe Edition),5,3WDIhWoRWVcaHdRwMEHkkS,Mama (feat. Ellie Goulding),spotify:track:3WDIhWoRWVcaHdRwMEHkkS,0.225,0.737,0.7140000000000001,3.79e-06,0.267,-6.138,0.0367,102.046,0.608,64,Clean Bandit
What Is Love? (Deluxe Edition),6,1t3HCpt49x27PE1uuy06md,Should've Known Better (feat. Anne-Marie),spotify:track:1t3HCpt49x27PE1uuy06md,0.14400000000000002,0.638,0.7290000000000001,3.86e-06,0.257,-5.859,0.0405,75.029,0.506,49,Clean Bandit
What Is Love? (Deluxe Edition),7,7DKSHIR389td3F1MrTOerW,Out at Night (feat. KYLE & Big Boi),spotify:track:7DKSHIR389td3F1MrTOerW,0.0906,0.736,0.71,6.1e-05,0.21600000000000003,-7.138,0.0429,105.005,0.33399999999999996,47,Clean Bandit
What Is Love? (Deluxe Edition),8,6Vly9VOZmMnHDDambtb32p,Last Goodbye (feat. Tove Styrke & Stefflon Don),spotify:track:6Vly9VOZmMnHDDambtb32p,0.00591,0.607,0.588,9.05e-06,0.21899999999999997,-6.727,0.0858,158.016,0.396,45,Clean Bandit
What Is Love? (Deluxe Edition),9,4w1Lnjryh7voWNEfNdj37G,We Were Just Kids (feat. Craig David & Kirsten Joy),spotify:track:4w1Lnjryh7voWNEfNdj37G,0.267,0.773,0.568,0.0,0.11199999999999999,-7.71,0.0493,99.975,0.467,47,Clean Bandit
What Is Love? (Deluxe Edition),10,0zZE4gBv25outVrHKJgiry,Nowhere (feat. Rita Ora & KYLE),spotify:track:0zZE4gBv25outVrHKJgiry,0.0574,0.7929999999999999,0.624,2.08e-06,0.20800000000000002,-6.024,0.0344,100.024,0.755,46,Clean Bandit
What Is Love? (Deluxe Edition),11,0Ult84lvFuqNvbyXwyRQ58,I Miss You (feat. Julia Michaels),spotify:track:0Ult84lvFuqNvbyXwyRQ58,0.299,0.693,0.624,7.64e-06,0.0955,-7.482,0.0448,105.00200000000001,0.369,74,Clean Bandit
What Is Love? (Deluxe Edition),12,2sXGKXPb0lZq7CXGoSg3U5,In Us I Believe (feat. ALMA),spotify:track:2sXGKXPb0lZq7CXGoSg3U5,0.008329999999999999,0.685,0.746,0.000154,0.134,-6.9639999999999995,0.0353,96.006,0.53,43,Clean Bandit
What Is Love? (Deluxe Edition),13,7iGYKBPel065LynLZBnaqg,24 Hours (feat. Yasmin Green),spotify:track:7iGYKBPel065LynLZBnaqg,0.0266,0.742,0.769,0.0,0.317,-5.975,0.0328,92.022,0.504,45,Clean Bandit
What Is Love? (Deluxe Edition),14,3uYOVV9hpYLk6scE9xvAqt,Playboy Style (feat. Charli XCX & Bhad Bhabie),spotify:track:3uYOVV9hpYLk6scE9xvAqt,0.0551,0.723,0.648,3.6099999999999997e-05,0.298,-6.522,0.0426,151.035,0.369,51,Clean Bandit
What Is Love? (Deluxe Edition),15,3ZkxpOQ1fyA27Lt79y2UVG,Beautiful (feat. DaVido & Love Ssega),spotify:track:3ZkxpOQ1fyA27Lt79y2UVG,0.00328,0.696,0.741,8.809999999999999e-05,0.129,-6.12,0.0367,110.012,0.413,42,Clean Bandit
What Is Love? (Deluxe Edition),16,4cKyHIo4oIZTLW5MujF9nL,Tears (feat. Louisa Johnson),spotify:track:4cKyHIo4oIZTLW5MujF9nL,0.0441,0.43,0.741,0.0,0.11699999999999999,-4.355,0.0583,130.833,0.297,53,Clean Bandit
New Eyes,1,2YSI2ZU7K0JihIzhEZNjBI,Mozart's House (feat. Love Ssega),spotify:track:2YSI2ZU7K0JihIzhEZNjBI,0.0462,0.7440000000000001,0.843,8.599999999999999e-06,0.11699999999999999,-5.723,0.166,125.005,0.725,38,Clean Bandit
