,artist,success_probability,track_name
819,BTSTroye Sivan,0.7696428571428572,Outro : EgoTroye Sivan
820,BTSTroye Sivan,0.7696428571428572,Outro : EgoTroye Sivan
523,Agust DTroye Sivan,0.7683452380952381,PeopleTroye Sivan
566,Cardi BTroye Sivan,0.7662222222222222,Please MeTroye Sivan
573,KhalidTroye Sivan,0.7438611111111111,Talk (feat. Disclosure)Troye Sivan
760,One DirectionTroye Sivan,0.7405952380952382,Best Song EverTroye Sivan
356,Jonas BrothersTroye Sivan,0.7319444444444444,Like It's ChristmasTroye Sivan
1717,ALLMO$TTroye Sivan,0.725,DalagaTroye Sivan
352,Ariana GrandeTroye Sivan,0.7248095238095239,Bad To You (with Normani & Nicki Minaj)Troye Sivan
13,Juice WRLDTroye Sivan,0.720452380952381,Smile (with The Weeknd)Troye Sivan
